"","gutenberg_id","palabra"
"713",1661,"his"
"714",1661,"manner"
"715",1661,"was"
"716",1661,"not"
"717",1661,"effusive"
"718",1661,"it"
"719",1661,"seldom"
"720",1661,"was"
"721",1661,"but"
"722",1661,"he"
"723",1661,"was"
"724",1661,"glad"
"725",1661,"i"
"726",1661,"think"
"727",1661,"to"
"728",1661,"see"
"729",1661,"me"
"730",1661,"with"
"731",1661,"hardly"
"732",1661,"a"
"733",1661,"word"
"734",1661,"spoken"
"735",1661,"but"
"736",1661,"with"
"737",1661,"a"
"738",1661,"kindly"
"739",1661,"eye"
"740",1661,"he"
"741",1661,"waved"
"742",1661,"me"
"743",1661,"to"
"744",1661,"an"
"745",1661,"armchair"
"746",1661,"threw"
"747",1661,"across"
"748",1661,"his"
"749",1661,"case"
"750",1661,"of"
"751",1661,"cigars"
"752",1661,"and"
"753",1661,"indicated"
"754",1661,"a"
"755",1661,"spirit"
"756",1661,"case"
"757",1661,"and"
"758",1661,"a"
"759",1661,"gasogene"
"760",1661,"in"
"761",1661,"the"
"762",1661,"corner"
"763",1661,"then"
"764",1661,"he"
"765",1661,"stood"
"766",1661,"before"
"767",1661,"the"
"768",1661,"fire"
"769",1661,"and"
"770",1661,"looked"
"771",1661,"me"
"772",1661,"over"
"773",1661,"in"
"774",1661,"his"
"775",1661,"singular"
"776",1661,"introspective"
"777",1661,"fashion"
"778",1661,"wedlock"
"779",1661,"suits"
"780",1661,"you"
"781",1661,"he"
"782",1661,"remarked"
"783",1661,"i"
"784",1661,"think"
"785",1661,"watson"
"786",1661,"that"
"787",1661,"you"
"788",1661,"have"
"789",1661,"put"
"790",1661,"on"
"791",1661,"seven"
"792",1661,"and"
"793",1661,"a"
"794",1661,"half"
"795",1661,"pounds"
"796",1661,"since"
"797",1661,"i"
"798",1661,"saw"
"799",1661,"you"
"800",1661,"seven"
"801",1661,"i"
"802",1661,"answered"
"803",1661,"indeed"
"804",1661,"i"
"805",1661,"should"
"806",1661,"have"
"807",1661,"thought"
"808",1661,"a"
"809",1661,"little"
"810",1661,"more"
"811",1661,"just"
"812",1661,"a"
"813",1661,"trifle"
"814",1661,"more"
"815",1661,"i"
"816",1661,"fancy"
"817",1661,"watson"
"818",1661,"and"
"819",1661,"in"
"820",1661,"practice"
"821",1661,"again"
"822",1661,"i"
"823",1661,"observe"
"824",1661,"you"
"825",1661,"did"
"826",1661,"not"
"827",1661,"tell"
"828",1661,"me"
"829",1661,"that"
"830",1661,"you"
"831",1661,"intended"
"832",1661,"to"
"833",1661,"go"
"834",1661,"into"
"835",1661,"harness"
"836",1661,"then"
"837",1661,"how"
"838",1661,"do"
"839",1661,"you"
"840",1661,"know"
"841",1661,"i"
"842",1661,"see"
"843",1661,"it"
"844",1661,"i"
"845",1661,"deduce"
"846",1661,"it"
"847",1661,"how"
"848",1661,"do"
"849",1661,"i"
"850",1661,"know"
"851",1661,"that"
"852",1661,"you"
"853",1661,"have"
"854",1661,"been"
"855",1661,"getting"
"856",1661,"yourself"
"857",1661,"very"
"858",1661,"wet"
"859",1661,"lately"
"860",1661,"and"
"861",1661,"that"
"862",1661,"you"
"863",1661,"have"
"864",1661,"a"
"865",1661,"most"
"866",1661,"clumsy"
"867",1661,"and"
"868",1661,"careless"
"869",1661,"servant"
"870",1661,"girl"
"871",1661,"my"
"872",1661,"dear"
"873",1661,"holmes"
"874",1661,"said"
"875",1661,"i"
"876",1661,"this"
"877",1661,"is"
"878",1661,"too"
"879",1661,"much"
"880",1661,"you"
"881",1661,"would"
"882",1661,"certainly"
"883",1661,"have"
"884",1661,"been"
"885",1661,"burned"
"886",1661,"had"
"887",1661,"you"
"888",1661,"lived"
"889",1661,"a"
"890",1661,"few"
"891",1661,"centuries"
"892",1661,"ago"
